maximum,mean,minimum,stdev
0.98,0.8106945000000007,0.321,0.18296963797239693
0.98,0.8064839999999998,0.223,0.18649538263453047
0.98,0.8167634999999975,0.3115,0.17949263443871455
0.9815,0.821473,0.3165,0.17892087432996742
0.9815,0.8179139999999989,0.3785,0.17954825564176338
0.9815,0.8227510000000002,0.4105,0.17601595097888145
0.9815,0.8109919999999989,0.3015,0.1867825244395203
0.9815,0.8163125000000001,0.299,0.18349831223678886
0.9815,0.8191435000000015,0.4205,0.18148445431427473
0.9815,0.8180625000000005,0.378,0.1838881122959012
0.9815,0.818954,0.433,0.1816188023966681
0.9815,0.8225759999999999,0.4385,0.1768779981343072
0.9815,0.8276465000000008,0.365,0.17872644121044318
0.9815,0.8113780000000007,0.4225,0.1889209652632551
0.9815,0.8315709999999996,0.4315,0.17681031915304035
0.9815,0.8211415000000006,0.393,0.18217869312230214
0.9815,0.8209284999999993,0.266,0.18311933168770034
0.9815,0.8230699999999994,0.266,0.18193606871645876
0.9815,0.8273809999999999,0.363,0.17557638889953278
0.9815,0.824323,0.347,0.1801820528548836
0.9815,0.8292094999999997,0.2985,0.178464329376349
0.9815,0.8337084999999991,0.4185,0.17591435495078286
0.9815,0.8326575000000009,0.424,0.17567432209560388
0.9815,0.819961000000001,0.3325,0.18467457859434797
0.9815,0.813150999999999,0.2835,0.18729051417250162
0.9815,0.8196199999999991,0.34,0.185675169583873
0.9815,0.8052600000000008,0.405,0.19181957381873213
0.9815,0.8033579999999991,0.3895,0.19062623989367256
0.9815,0.7910284999999994,0.339,0.1958880086624752
0.9815,0.7987100000000006,0.432,0.19091214969194595
0.9815,0.8038349999999995,0.3725,0.18661284193484656
0.9815,0.8011005000000008,0.314,0.19076740195785535
0.9815,0.8106230000000005,0.2295,0.18557600295027363
0.9815,0.8185874999999995,0.2965,0.18239928342444225
0.9815,0.821791499999999,0.2585,0.18138156680806905
0.9815,0.8206409999999991,0.362,0.1807060862810104
0.9815,0.8297929999999989,0.372,0.17177967909796557
0.9815,0.8159269999999996,0.361,0.1829536202730079
0.9815,0.8211004999999999,0.299,0.1829965099387143
0.9815,0.8200230000000004,0.36,0.18207348508500623
0.9815,0.8295255000000001,0.411,0.17756624003382504
0.9815,0.8277575000000004,0.321,0.17958578296666478
0.9815,0.821295500000001,0.321,0.17824369394104814
0.9815,0.8127720000000007,0.3255,0.18377285576493602
0.9815,0.8219645000000007,0.327,0.1795764224216253
0.9815,0.8192045,0.4135,0.18209847042122568
0.9815,0.8196710000000008,0.366,0.18184224965337406
0.9815,0.8243210000000001,0.358,0.1771239197821684
0.9815,0.8150224999999992,0.2845,0.18010084187407344
0.9815,0.828961499999999,0.2805,0.1749812711913764
0.9815,0.8290659999999999,0.333,0.17504939772532774
0.9815,0.8263295,0.331,0.17753426058017657
0.9815,0.8314065000000012,0.2335,0.17411358794692036
0.9815,0.8255180000000008,0.332,0.17817575782356038
0.9815,0.8303954999999991,0.3645,0.1759029727712127
0.9815,0.8217019999999989,0.362,0.1784511717417401
0.9815,0.8234484999999989,0.346,0.1787998856200697
0.9815,0.8195299999999985,0.3655,0.1797122466611555
0.9815,0.8212309999999999,0.33,0.17950118283454292
0.9815,0.8137974999999987,0.3675,0.18436383252620345
0.9815,0.8135389999999979,0.3595,0.18404641935935617
0.9815,0.8166850000000004,0.3395,0.18287444265123534
0.9815,0.8176804999999995,0.331,0.1794528048533929
0.984,0.8098290000000005,0.2675,0.18693099731986665
0.984,0.8120100000000005,0.2985,0.18786080591757287
0.984,0.8161125000000005,0.3445,0.18526333040769294
0.984,0.8160984999999997,0.3115,0.18632456104268702
0.984,0.8116879999999999,0.4215,0.18766825425734635
0.984,0.8190754999999995,0.417,0.1809028248805142
0.984,0.8233105000000002,0.323,0.18200665328429624
0.984,0.8149445000000006,0.328,0.18250775235520825
0.984,0.8119550000000003,0.391,0.1832607554142458
0.984,0.806159499999999,0.431,0.18502979708617187
0.984,0.8082129999999998,0.3825,0.18568641881139278
0.984,0.8039229999999985,0.3925,0.1877217370764504
0.984,0.7967344999999995,0.396,0.18808325087511119
0.984,0.8055690000000012,0.359,0.18367616676912643
0.984,0.8125910000000004,0.2985,0.17733362264105465
0.984,0.8115544999999994,0.369,0.17964471124903733
0.984,0.8197749999999991,0.342,0.1823841533001154
0.984,0.8178964999999996,0.1,0.18463441726219412
0.984,0.8143135000000009,0.102,0.18508427531195104
0.9845,0.8182634999999991,0.103,0.18162798054746415
0.9845,0.808640499999999,0.397,0.1840701578468111
0.9845,0.8125244999999982,0.4005,0.18203305510195128
0.9845,0.8176374999999998,0.434,0.178757441366087
0.9845,0.8215414999999987,0.319,0.1804612826280197
0.9845,0.8146624999999998,0.3005,0.18432899620990167
0.9845,0.8197090000000006,0.2795,0.18026319596356885
0.9845,0.8171034999999993,0.3195,0.18568671879741447
0.9845,0.8174719999999993,0.305,0.18467950134218997
0.9845,0.8240155000000003,0.3185,0.17992747291547775
0.9845,0.8237680000000004,0.3265,0.17984263308793055
0.9845,0.816229,0.327,0.1846418196373724
0.9845,0.8290265000000003,0.3275,0.177052337029902
0.9845,0.8179004999999993,0.3155,0.18088591390639008
0.9845,0.8064220000000003,0.212,0.1890562242191461
0.9845,0.793066500000001,0.4075,0.1944598900229814
0.9845,0.8003325000000004,0.3815,0.19118186157099223
0.9855,0.8096315000000002,0.176,0.18815486695206693
0.9855,0.8161589999999995,0.159,0.1833910813507571
0.9855,0.813942999999999,0.1825,0.1849619859619809
0.9855,0.8207189999999984,0.175,0.18384932156252307
0.9855,0.816215,0.159,0.1875882026541114
0.986,0.8156735000000007,0.2795,0.18387795177168462
0.986,0.825585499999999,0.34,0.1815699588030741
0.986,0.8275654999999995,0.1045,0.1844255607548746
0.986,0.8240884999999994,0.3295,0.18501681928340996
0.986,0.8341029999999983,0.252,0.18208785075067466
0.986,0.8299200000000005,0.388,0.18425602188259677
0.986,0.8191934999999999,0.322,0.18821388712778342
0.986,0.8159254999999982,0.327,0.19186377901977755
0.986,0.8191804999999989,0.402,0.18777504804885556
0.986,0.8227099999999999,0.4035,0.1852802820053985
0.986,0.8134915000000006,0.4025,0.18934110007536656
0.986,0.8072660000000004,0.4165,0.1937221470147386
0.986,0.8150029999999989,0.3885,0.18921186931849696
0.986,0.8248704999999994,0.356,0.1847539593073719
0.986,0.8103265000000004,0.3285,0.19409756090108393
0.986,0.8096364999999999,0.333,0.19504748810930625
0.986,0.801319499999999,0.287,0.1970895663645087
0.986,0.8085889999999994,0.292,0.19008327011865084
0.9865,0.8063194999999992,0.2845,0.19083559591897423
0.9865,0.8020649999999988,0.3275,0.1963282780829088
0.9865,0.8071159999999998,0.3055,0.19420829936951722
0.9865,0.8121059999999991,0.305,0.19008470286690618
0.9885,0.8173160000000004,0.178,0.18673927450860456
0.9885,0.8196240000000015,0.391,0.18571645760136613
0.9885,0.8153670000000002,0.2625,0.19147185514064463
0.9885,0.798317999999999,0.329,0.1959647312043674
0.9885,0.8077239999999998,0.3295,0.19701275675448032
0.9885,0.801379,0.274,0.19883626017152917
0.9885,0.8064455000000005,0.3295,0.19253066321952453
0.9885,0.7965960000000001,0.2915,0.19706460814666854
0.9885,0.8056394999999993,0.3225,0.1917067885854593
0.9885,0.8035614999999997,0.3835,0.19424937700736641
0.9885,0.8129374999999989,0.305,0.1879650774578885
0.9885,0.817292499999999,0.424,0.18495332571692255
0.9885,0.8198420000000002,0.41,0.18703386868693062
0.9885,0.8193359999999994,0.348,0.18516331738225064
0.9885,0.8217560000000007,0.332,0.1899024182679092
0.9885,0.8183175000000013,0.3315,0.18992461516019998
0.9885,0.8031055000000007,0.228,0.19816150514100872
0.9885,0.8053875000000001,0.327,0.19234320261904256
0.9885,0.7996775000000003,0.333,0.19426795089193175
0.9885,0.7998444999999991,0.3595,0.19340335072006898
0.9885,0.8073215,0.224,0.19306082691149448
0.9885,0.8042094999999995,0.269,0.19173280590381508
0.9885,0.7980640000000006,0.38,0.19744946037910568
0.9885,0.7977450000000004,0.2335,0.19792230034788905
0.9885,0.8063145000000007,0.3175,0.1926472354843174
